title,price,link
2025 Lenovo IdeaPad Laptop Intel Processor 15.6 Upto 20GB RAM 1TB SSD Office 365,$229.00,https://www.ebay.com/itm/146647027634?_skw=laptop&itmmeta=01K3N0PN76RXBBVE8NW46SG4Q3&hash=item2224d80fb2:g:nqcAAOSwtUtoSyGj&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1frKE7wjFHtuEtw%2FLrabYVVFroyM12%2BwbWuYnPLXEHcxCDE2A7slU%2FjYYJiULH%2FppJxPEegHQuLhQruhtGNi%2Byi%2Fjk8di%2BFV%2F%2BsqnreYD7ELGAAE2H9B9yxvJc3K%2Fosf8UhBL5EnlJmAILoz6Y6xNu2AW8SpxAnq5%2B%2BLZuZuoqXH%2FGLew5Qke90IOLRa%2BBvX0w6OoFL%2BZGtI9UBucogYrAtpYHT2i90LPv5BH1z%2BDzQTkVCh5GYu5RElI6ygHeD3L7JWxDopQRdzY6kv74o0t4O%7Ctkp%3ABk9SR4zU2qCdZg&pfm=0
"2024 Acer Aspire Laptop 14"" 2-in-1 Touch 8-Core Intel i3 8GB RAM Upto 1TB SSD",$329.00,https://www.ebay.com/itm/116385225473?_skw=laptop&itmmeta=01K3N0PN76QVPH0AWNDNDFAPF9&hash=item1b19199b01:g:rRYAAOSwSW1nK8ad&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fESgqlpIbdlDVBIS8D9qVj%2FSfzRT%2F0%2FpZemY5W05PCscAEGvg0Kuc1SGU7kU1oLechkA0fb7R2P9aqT%2FghB3UUQ6EHq2w3hOgBWsTMBfGHUSUdoK1pWIFbXYKOy54LL61FqXIcCFm1U219dZePr5PEwOyieRZOXFXCAzCTICjyO9JE9YaFrwxwIVdZ%2BUQGPk4oT%2BUrmb%2FqE5bRGz3lveGP57erQ5z2rL%2Fkn%2BBhYvSXTg%3D%3D%7Ctkp%3ABk9SR4zU2qCdZg&pfm=0
Dell Latitude 3420 i5-1145G7 16GB Ram 256GB NVME Storage Windows 10Pro,$300.00,https://www.ebay.com/itm/297559020754?_skw=laptop&itmmeta=01K3N0PN763MQVB6C64Z39EXM6&hash=item4547e654d2:g:6m0AAeSwCltoqJD6&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fFru39HogAadRIOrfwUoPsse6nhpVZr75l5hK4XWNC7ZKnoxO1TyB1K8OTZzi3RkgwNynlRQgMLOyqRzY5jYhENigq1DiN8jnAgfLN3PPUnYfzKBS3c2RUCf8EVQuWenV0GmxW%2Byzyu3bPBAQS1xXkjrprhWlCZCOLWYtN4i1Kb6mS0fHSYobx4apQQmqB%2FhTGpY3xPD8XUY%2BKb8vyzvgvPNmW4GwanHPCm9%2F0eWaLDlKXfIvdonb5Sj%2Bt5v6kN%2B%2FMnupRW83Py2ckeOUNov6f%7Ctkp%3ABk9SR4zU2qCdZg&pfm=0
Panasonic Let's Note CF-SX2 DVD Intel Core i5 SSD 128 GB 4GB RAM Windows 10,$123.93,https://www.ebay.com/itm/375894121453?_skw=laptop&itmmeta=01K3N0PN7652BVRFNZPT1NNY42&hash=item5785091bed:g:20MAAOSwPMZnceCB&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fx9QcnwtJVgS96qFwVE7kufc6v5wk4F39WJ%2FDMl1O53W1ZvJIq5ncq9vKLFnatI%2BFyKkbQoj1SB6%2Fc30IeATAdCHLHrro1i98WVDOW7hhwRU0FyBg16ApBKMKk4OTlKsatGK2IA2AfSER87qCB4k1V4j9dEV4Oryzwt7nHfwt2eNuF157K0h%2FiasdhkdcNkMkyLL3EeZnO79LYS3Awg9zLWx20fxue6SGyl7zsoduv4fLi11xZ4UFiSjlLBAUWyu%2Fou%2BjE8ko5LlYCTVP9V0il%7Ctkp%3ABk9SR4zU2qCdZg&pfm=0
Panasonic Let's note CF-SV7 Intel Core i5 SSD 256GB RAM 16GB Windows 11 Used,$255.00,https://www.ebay.com/itm/376480031651?_skw=laptop&epid=18078562193&itmmeta=01K3N0PN76ZK299GWYXCJRE2CG&hash=item57a7f563a3:g:B44AAeSwPu5onSO4&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dHC74vQMNqGQBVoWTJ9KyCumZZBO3ZYaKlaEwJf%2FKmMuzORKTcVXMxiSF3OTB2aKHZvnE52BXNwbfa%2Bqm8FOps0WRAIBXPqqllOryW%2B%2FvN%2FbhAVJJDga8iM0gDwHFc4vgJhrwHQR%2FOlDc0PVZnGgF91wAa4y8fPz5sXQHf%2FMZ1H4TAPOsVoY7smkSgGzPRvV5hvjc6SdvBsIYnhHo4Fd%2BfZZ2cLHfzzlnBeWAHTsqmi54GvAoUkjk%2FDMiz8S79EYgYkpIzgNswH%2B82ePPikZFk%7Ctkp%3ABk9SR4zU2qCdZg&pfm=0
"HP 15a-na0020ca 15.6"" FHD Intel Pentium Silver N6000 8GB 128GB ChromeOS Laptop",$129.99,https://www.ebay.com/itm/376153711330?_skw=laptop&itmmeta=01K3N0PN763RJ8792X4PSPHZP2&hash=item57948222e2:g:oAkAAeSwMpZoreB4&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1c1Ru7a5HYqWr14DE67YfuKjPfP%2F8dYfjbV0gOG2C5cxYYuWIfHK2OqlMO%2BpGgqhOrduGy%2FsNLUDgwZN1RIyQ6J6XpK2v6vUNFBS02DqGhGiXIlpTegDiplbig0%2BsJsAwZq7g3cu32iKJYHPt07oyB5p4TJsEuFgSYvQ4rtQwc%2FZGCwYzQ5rqDydPJmJiTptg%2FOX6ontF4aF4TcuA6HyIsNBqMxfTuv4OOcWPa85PVdNH%2BRxT%2FQCSsoxqdJGQP2DWEgV%2BWDv6dCxrcEgVq2KAMH%7Ctkp%3ABk9SR4zU2qCdZg&pfm=0
"Dell Inspiron 15.6"" FHD Touchscreen i5547-7502slv Intel Core i5 1TB HDD 12GB RAM",$299.99,https://www.ebay.com/itm/317117473565?_skw=laptop&epid=207019850&itmmeta=01K3N0PN76GCJ5273DTF6KEC5C&hash=item49d5aca31d:g:ORAAAeSw0K9ohDyK&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cBXRyG1hTuTljXi0iKUiIr16Gp3whyG9oPT358KwVjhJvN6I0ycHGDUiPXLjeBxIkLAgAn4gNawwnCZN5fzEt5SB1lnhyGCJg4bv9hfJxYGyJ2HvW%2FveZdd%2FgAkS82VzyyZ7%2F8A8FGb0NDwM7iKoBHTboWpYqzCvr0WrR3LAdOxkom0EpNv0r0NTFBFCyLysGou2TI4OdyxYkhPElbYj%2FqnqDxo1Wb%2F0SspKbFEz7G7UYGlQoh0sRFsHZBn8iyyFgDtYhLMvjtUKyk4JZnL8AQ%7Ctkp%3ABk9SR47U2qCdZg&pfm=0
"Dell Latitude 5310 14"" HD Laptop Computer Core i5 16GB RAM 256GB SSD Windows 11",$201.63,https://www.ebay.com/itm/283951308518?_skw=laptop&itmmeta=01K3N0PN76KPWSNTW8FWKSYPNW&hash=item421cd11ee6:g:jwMAAeSwIDloo9nO&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1c1Y3tom7f%2BQSegh8fSpbK98TBU9buQo2wcnLdUHdGlmlnJzwlSRxqaksFgVshqGRd%2Fd1yBcXZdnGzn4V9mY3G9VXtn07YbeX2HOMPOB8MsSVAZRJ37jlSLhdHjxxNY%2BVwZ6%2FsTBCTpQxIY0NwAfLbDoAjX7Po9pM4qwGzdhCFOduuVSY8dt0FMMxVkXSA%2FbsBYfWG6fS5O8uVqn2axFjCG2UiSBn3Imav0lpgbc9SrSI%2F5aGVD8UYRmZ43htkNZeypxJEiIv8jYg%2F5vfeZxwN8%7Ctkp%3ABk9SR47U2qCdZg&pfm=0
"Lenovo ThinkPad 12.5"" Laptop Computer Core i5 16GB RAM 256GB SSD Windows 10 PC",$137.69,https://www.ebay.com/itm/254391083564?_skw=laptop&itmmeta=01K3N0PN762Q5AKK0D665131JK&hash=item3b3ae3e22c:g:zSQAAeSwZiNorRZP&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fPFb6PdA5UnPIGdUGD1ZoLZM%2BmpTmFKJkFAdfoyAQTX4zptdWoomEOksIYomvowRbaQRQgC%2FRuu9NyW%2FwIHFXjh2nW1q1bjp8UgPi1rysfiI3vkHuI8hsmOJWvItPEo1FNwSTvMDPuhXAl1kaj87ZDdUSsAZR22scv4IUzAWxJVZAhMA1NWvB695dUrk5lvojoBzUKzho3k2dNMQp6TT%2FqfM6FizMn0Qx8%2FSwpMl5vEA%3D%3D%7Ctkp%3ABk9SR47U2qCdZg&pfm=0
"Lenovo IdeaPad Laptop 15.6"" FHD FPR Intel i3 Upto 36GB RAM 2TB SSD Office 2024",$329.00,https://www.ebay.com/itm/116573405497?_skw=laptop&itmmeta=01K3N0PN7684ZMDYTX3AEHD4ED&hash=item1b24510139:g:rPMAAOSwfP9oBnqk&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1diC%2Bm92MLbam95VICBPns8H5omwp5YACsgP%2Bbu6s9LeU00RaBOya%2Fs9zKRGslNGcDsJ1ToA6JXlILaznOIxGgoAk5bGG2J0nDNvb9%2Fw25coukGouZuca7XwfsW%2B2GDmNRkxOEiPEakF%2FRsbMab3vAZZ3%2FCQx1h%2BIx456a4djexMtraPf%2FN6IrMs7Xnl8IU95auxa6XpDwvA48mM3ARaSk2oMOY3wzcY18QW4F9UiY9FA%3D%3D%7Ctkp%3ABk9SR47U2qCdZg&pfm=0
